B.E.,O 1s:CPS,O 1s:gas phase,O 1s:multi H2O,O 1s:H2O,O 1s:OH,O 1s:O*,Background,Envelope,,
5.420000e+002,1.265217e+003,1.265217e+003,1.265217e+003,1.265217e+003,1.265217e+003,1.265217e+003,1.265217e+003,1.265217e+003,,
5.419000e+002,1.274283e+003,1.274283e+003,1.274283e+003,1.274283e+003,1.274283e+003,1.274283e+003,1.274283e+003,1.274283e+003,,
5.418000e+002,1.277307e+003,1.277307e+003,1.277307e+003,1.277307e+003,1.277307e+003,1.277307e+003,1.277307e+003,1.277307e+003,,
5.417000e+002,1.248410e+003,1.248410e+003,1.248410e+003,1.248410e+003,1.248410e+003,1.248410e+003,1.248410e+003,1.248410e+003,,
5.416000e+002,1.261833e+003,1.261833e+003,1.261833e+003,1.261833e+003,1.261833e+003,1.261833e+003,1.261833e+003,1.261833e+003,,
5.415000e+002,1.313433e+003,1.313433e+003,1.313433e+003,1.313433e+003,1.313433e+003,1.313433e+003,1.313433e+003,1.313433e+003,,
5.414000e+002,1.278163e+003,1.278163e+003,1.278163e+003,1.278163e+003,1.278163e+003,1.278163e+003,1.278163e+003,1.278163e+003,,
5.413000e+002,1.239083e+003,1.239083e+003,1.239083e+003,1.239083e+003,1.239083e+003,1.239083e+003,1.239083e+003,1.239083e+003,,
5.412000e+002,1.268777e+003,1.268777e+003,1.268777e+003,1.268777e+003,1.268777e+003,1.268777e+003,1.268777e+003,1.268777e+003,,
5.411000e+002,1.250483e+003,1.250483e+003,1.250483e+003,1.250483e+003,1.250483e+003,1.250483e+003,1.250483e+003,1.250483e+003,,
5.410000e+002,1.257433e+003,1.257433e+003,1.257433e+003,1.257433e+003,1.257433e+003,1.257433e+003,1.257433e+003,1.257433e+003,,
5.409000e+002,1.262170e+003,1.262170e+003,1.262170e+003,1.262170e+003,1.262170e+003,1.262170e+003,1.262170e+003,1.262170e+003,,
5.408000e+002,1.215897e+003,1.215897e+003,1.215897e+003,1.215897e+003,1.215897e+003,1.215897e+003,1.215897e+003,1.215897e+003,,
5.407000e+002,1.238933e+003,1.238933e+003,1.238933e+003,1.238933e+003,1.238933e+003,1.238933e+003,1.238933e+003,1.238933e+003,,
5.406000e+002,1.246360e+003,1.246360e+003,1.246360e+003,1.246360e+003,1.246360e+003,1.246360e+003,1.246360e+003,1.246360e+003,,
5.405000e+002,1.222013e+003,1.222013e+003,1.222013e+003,1.222013e+003,1.222013e+003,1.222013e+003,1.222013e+003,1.222013e+003,,
5.404000e+002,1.254013e+003,1.254013e+003,1.254013e+003,1.254013e+003,1.254013e+003,1.254013e+003,1.254013e+003,1.254013e+003,,
5.403000e+002,1.223863e+003,1.223863e+003,1.223863e+003,1.223863e+003,1.223863e+003,1.223863e+003,1.223863e+003,1.223863e+003,,
5.402000e+002,1.265560e+003,1.265560e+003,1.265560e+003,1.265560e+003,1.265560e+003,1.265560e+003,1.265560e+003,1.265560e+003,,
5.401000e+002,1.246543e+003,1.246543e+003,1.246543e+003,1.246543e+003,1.246543e+003,1.246543e+003,1.246543e+003,1.246543e+003,,
5.400000e+002,1.247987e+003,1.247987e+003,1.247987e+003,1.247987e+003,1.247987e+003,1.247987e+003,1.247987e+003,1.247987e+003,,
5.399000e+002,1.250670e+003,1.250670e+003,1.250670e+003,1.250670e+003,1.250670e+003,1.250670e+003,1.250670e+003,1.250670e+003,,
5.398000e+002,1.248910e+003,1.248910e+003,1.248910e+003,1.248910e+003,1.248910e+003,1.248910e+003,1.248910e+003,1.248910e+003,,
5.397000e+002,1.237720e+003,1.237720e+003,1.237720e+003,1.237720e+003,1.237720e+003,1.237720e+003,1.237720e+003,1.237720e+003,,
5.396000e+002,1.241897e+003,1.241897e+003,1.241897e+003,1.241897e+003,1.241897e+003,1.241897e+003,1.241897e+003,1.241897e+003,,
5.395000e+002,1.243283e+003,1.243283e+003,1.243283e+003,1.243283e+003,1.243283e+003,1.243283e+003,1.243283e+003,1.243283e+003,,
5.394000e+002,1.257620e+003,1.257620e+003,1.257620e+003,1.257620e+003,1.257620e+003,1.257620e+003,1.257620e+003,1.257620e+003,,
5.393000e+002,1.230980e+003,1.230980e+003,1.230980e+003,1.230980e+003,1.230980e+003,1.230980e+003,1.230980e+003,1.230980e+003,,
5.392000e+002,1.250030e+003,1.250030e+003,1.250030e+003,1.250030e+003,1.250030e+003,1.250030e+003,1.250030e+003,1.250030e+003,,
5.391000e+002,1.205587e+003,1.205587e+003,1.205587e+003,1.205587e+003,1.205587e+003,1.205587e+003,1.205587e+003,1.205587e+003,,
5.390000e+002,1.241997e+003,1.241997e+003,1.241997e+003,1.241997e+003,1.241997e+003,1.241997e+003,1.241997e+003,1.241997e+003,,
5.389000e+002,1.235963e+003,1.235964e+003,1.235963e+003,1.235963e+003,1.235963e+003,1.235963e+003,1.235963e+003,1.235964e+003,,
5.388000e+002,1.263400e+003,1.263401e+003,1.263400e+003,1.263400e+003,1.263400e+003,1.263400e+003,1.263400e+003,1.263401e+003,,
5.387000e+002,1.213187e+003,1.243994e+003,1.243992e+003,1.243992e+003,1.243992e+003,1.243992e+003,1.243992e+003,1.243994e+003,,
5.386000e+002,1.255477e+003,1.243985e+003,1.243981e+003,1.243981e+003,1.243981e+003,1.243981e+003,1.243981e+003,1.243985e+003,,
5.385000e+002,1.273383e+003,1.243960e+003,1.243953e+003,1.243953e+003,1.243953e+003,1.243953e+003,1.243953e+003,1.243960e+003,,
5.384000e+002,1.277420e+003,1.243935e+003,1.243921e+003,1.243921e+003,1.243921e+003,1.243921e+003,1.243921e+003,1.243935e+003,,
5.383000e+002,1.280313e+003,1.243910e+003,1.243886e+003,1.243886e+003,1.243886e+003,1.243886e+003,1.243886e+003,1.243910e+003,,
5.382000e+002,1.278413e+003,1.243894e+003,1.243853e+003,1.243853e+003,1.243853e+003,1.243853e+003,1.243853e+003,1.243894e+003,,
5.381000e+002,1.227513e+003,1.243906e+003,1.243838e+003,1.243838e+003,1.243838e+003,1.243838e+003,1.243838e+003,1.243906e+003,,
5.380000e+002,1.248273e+003,1.243946e+003,1.243834e+003,1.243834e+003,1.243834e+003,1.243834e+003,1.243834e+003,1.243946e+003,,
5.379000e+002,1.208920e+003,1.243985e+003,1.243800e+003,1.243800e+003,1.243800e+003,1.243800e+003,1.243800e+003,1.243985e+003,,
5.378000e+002,1.246603e+003,1.244095e+003,1.243798e+003,1.243798e+003,1.243798e+003,1.243798e+003,1.243798e+003,1.244095e+003,,
5.377000e+002,1.257020e+003,1.244258e+003,1.243785e+003,1.243785e+003,1.243785e+003,1.243785e+003,1.243785e+003,1.244258e+003,,
5.376000e+002,1.251390e+003,1.244516e+003,1.243778e+003,1.243778e+003,1.243778e+003,1.243778e+003,1.243778e+003,1.244516e+003,,
5.375000e+002,1.281467e+003,1.244885e+003,1.243742e+003,1.243742e+003,1.243742e+003,1.243742e+003,1.243742e+003,1.244885e+003,,
5.374000e+002,1.274593e+003,1.245447e+003,1.243713e+003,1.243713e+003,1.243713e+003,1.243713e+003,1.243713e+003,1.245447e+003,,
5.373000e+002,1.255413e+003,1.246304e+003,1.243702e+003,1.243701e+003,1.243701e+003,1.243701e+003,1.243701e+003,1.246304e+003,,
5.372000e+002,1.267473e+003,1.247520e+003,1.243679e+003,1.243679e+003,1.243679e+003,1.243679e+003,1.243679e+003,1.247520e+003,,
5.371000e+002,1.242630e+003,1.249264e+003,1.243678e+003,1.243678e+003,1.243678e+003,1.243678e+003,1.243678e+003,1.249265e+003,,
5.370000e+002,1.247550e+003,1.251685e+003,1.243675e+003,1.243674e+003,1.243674e+003,1.243674e+003,1.243674e+003,1.251685e+003,,
5.369000e+002,1.279140e+003,1.254933e+003,1.243641e+003,1.243640e+003,1.243640e+003,1.243640e+003,1.243640e+003,1.254934e+003,,
5.368000e+002,1.295620e+003,1.259309e+003,1.243592e+003,1.243591e+003,1.243591e+003,1.243591e+003,1.243591e+003,1.259311e+003,,
5.367000e+002,1.280130e+003,1.265044e+003,1.243559e+003,1.243556e+003,1.243556e+003,1.243556e+003,1.243556e+003,1.265047e+003,,
5.366000e+002,1.324973e+003,1.272461e+003,1.243484e+003,1.243478e+003,1.243478e+003,1.243478e+003,1.243478e+003,1.272466e+003,,
5.365000e+002,1.324997e+003,1.281810e+003,1.243410e+003,1.243401e+003,1.243401e+003,1.243401e+003,1.243401e+003,1.281819e+003,,
5.364000e+002,1.326617e+003,1.293418e+003,1.243339e+003,1.243321e+003,1.243321e+003,1.243321e+003,1.243321e+003,1.293435e+003,,
5.363000e+002,1.351340e+003,1.307448e+003,1.243249e+003,1.243219e+003,1.243219e+003,1.243219e+003,1.243219e+003,1.307478e+003,,
5.362000e+002,1.336483e+003,1.324013e+003,1.243183e+003,1.243130e+003,1.243130e+003,1.243130e+003,1.243130e+003,1.324066e+003,,
5.361000e+002,1.336583e+003,1.343097e+003,1.243132e+003,1.243041e+003,1.243041e+003,1.243041e+003,1.243041e+003,1.343188e+003,,
5.360000e+002,1.405587e+003,1.364245e+003,1.243040e+003,1.242886e+003,1.242886e+003,1.242886e+003,1.242886e+003,1.364399e+003,,
5.359000e+002,1.424310e+003,1.387065e+003,1.242969e+003,1.242713e+003,1.242713e+003,1.242713e+003,1.242713e+003,1.387321e+003,,
5.358000e+002,1.453210e+003,1.410606e+003,1.242932e+003,1.242513e+003,1.242512e+003,1.242512e+003,1.242512e+003,1.411026e+003,,
5.357000e+002,1.435903e+003,1.433812e+003,1.243009e+003,1.242329e+003,1.242328e+003,1.242328e+003,1.242328e+003,1.434493e+003,,
5.356000e+002,1.454580e+003,1.455304e+003,1.243207e+003,1.242127e+003,1.242126e+003,1.242126e+003,1.242126e+003,1.456385e+003,,
5.355000e+002,1.447363e+003,1.473671e+003,1.243633e+003,1.241932e+003,1.241930e+003,1.241930e+003,1.241930e+003,1.475375e+003,,
5.354000e+002,1.470247e+003,1.487431e+003,1.244341e+003,1.241716e+003,1.241713e+003,1.241713e+003,1.241713e+003,1.490063e+003,,
5.353000e+002,1.454553e+003,1.495667e+003,1.245524e+003,1.241517e+003,1.241510e+003,1.241510e+003,1.241510e+003,1.499688e+003,,
5.352000e+002,1.453553e+003,1.497342e+003,1.247335e+003,1.241320e+003,1.241308e+003,1.241308e+003,1.241308e+003,1.503381e+003,,
5.351000e+002,1.427790e+003,1.492681e+003,1.250050e+003,1.241153e+003,1.241130e+003,1.241130e+003,1.241130e+003,1.501623e+003,,
5.350000e+002,1.467830e+003,1.481669e+003,1.253931e+003,1.240955e+003,1.240914e+003,1.240914e+003,1.240914e+003,1.494726e+003,,
5.349000e+002,1.461957e+003,1.465509e+003,1.259380e+003,1.240776e+003,1.240704e+003,1.240704e+003,1.240704e+003,1.484257e+003,,
5.348000e+002,1.445297e+003,1.445330e+003,1.266977e+003,1.240636e+003,1.240509e+003,1.240509e+003,1.240509e+003,1.471925e+003,,
5.347000e+002,1.489943e+003,1.422547e+003,1.277109e+003,1.240490e+003,1.240271e+003,1.240271e+003,1.240271e+003,1.459603e+003,,
5.346000e+002,1.497300e+003,1.398617e+003,1.290650e+003,1.240399e+003,1.240026e+003,1.240026e+003,1.240026e+003,1.449614e+003,,
5.345000e+002,1.465593e+003,1.374855e+003,1.308170e+003,1.240435e+003,1.239812e+003,1.239811e+003,1.239811e+003,1.443838e+003,,
5.344000e+002,1.482047e+003,1.352194e+003,1.330490e+003,1.240614e+003,1.239581e+003,1.239581e+003,1.239581e+003,1.444137e+003,,
5.343000e+002,1.511040e+003,1.331455e+003,1.358226e+003,1.241003e+003,1.239322e+003,1.239322e+003,1.239322e+003,1.452039e+003,,
5.342000e+002,1.526757e+003,1.312977e+003,1.391897e+003,1.241745e+003,1.239049e+003,1.239048e+003,1.239048e+003,1.468524e+003,,
5.341000e+002,1.583830e+003,1.297008e+003,1.431918e+003,1.242987e+003,1.238722e+003,1.238720e+003,1.238720e+003,1.494475e+003,,
5.340000e+002,1.608817e+003,1.283521e+003,1.477963e+003,1.245003e+003,1.238371e+003,1.238367e+003,1.238367e+003,1.529758e+003,,
5.339000e+002,1.632923e+003,1.272377e+003,1.529784e+003,1.248199e+003,1.237999e+003,1.237991e+003,1.237991e+003,1.574386e+003,,
5.338000e+002,1.680630e+003,1.263352e+003,1.585760e+003,1.252970e+003,1.237585e+003,1.237570e+003,1.237569e+003,1.626960e+003,,
5.337000e+002,1.713417e+003,1.256107e+003,1.644115e+003,1.260130e+003,1.237145e+003,1.237117e+003,1.237116e+003,1.686150e+003,,
5.336000e+002,1.728987e+003,1.250456e+003,1.702091e+003,1.270407e+003,1.236703e+003,1.236650e+003,1.236647e+003,1.749717e+003,,
5.335000e+002,1.774847e+003,1.245996e+003,1.756443e+003,1.285016e+003,1.236237e+003,1.236139e+003,1.236135e+003,1.815292e+003,,
5.334000e+002,1.854053e+003,1.242498e+003,1.803444e+003,1.305216e+003,1.235732e+003,1.235554e+003,1.235546e+003,1.880259e+003,,
5.333000e+002,1.861483e+003,1.239770e+003,1.839992e+003,1.332709e+003,1.235281e+003,1.234963e+003,1.234950e+003,1.942917e+003,,
5.332000e+002,1.951947e+003,1.237560e+003,1.862427e+003,1.369519e+003,1.234845e+003,1.234291e+003,1.234266e+003,2.001577e+003,,
5.331000e+002,1.954697e+003,1.235799e+003,1.869695e+003,1.417452e+003,1.234571e+003,1.233624e+003,1.233580e+003,2.056820e+003,,
5.330000e+002,2.065223e+003,1.234258e+003,1.860135e+003,1.479407e+003,1.234450e+003,1.232864e+003,1.232788e+003,2.109964e+003,,
5.329000e+002,2.162907e+003,1.232864e+003,1.835248e+003,1.556730e+003,1.234638e+003,1.232032e+003,1.231902e+003,2.163907e+003,,
5.328000e+002,2.205390e+003,1.231593e+003,1.796689e+003,1.652271e+003,1.235392e+003,1.231195e+003,1.230974e+003,2.223245e+003,,
5.327000e+002,2.334593e+003,1.230316e+003,1.747514e+003,1.766603e+003,1.236922e+003,1.230291e+003,1.229923e+003,2.291955e+003,,
5.326000e+002,2.457327e+003,1.228999e+003,1.691266e+003,1.900423e+003,1.239622e+003,1.229358e+003,1.228753e+003,2.374655e+003,,
5.325000e+002,2.522380e+003,1.227672e+003,1.631471e+003,2.052698e+003,1.244065e+003,1.228500e+003,1.227521e+003,2.474323e+003,,
5.324000e+002,2.657353e+003,1.226251e+003,1.571348e+003,2.220171e+003,1.250840e+003,1.227716e+003,1.226158e+003,2.591691e+003,,
5.323000e+002,2.761237e+003,1.224751e+003,1.513683e+003,2.398223e+003,1.260773e+003,1.227148e+003,1.224696e+003,2.725794e+003,,
5.322000e+002,2.886070e+003,1.223146e+003,1.460217e+003,2.579235e+003,1.274765e+003,1.226897e+003,1.223113e+003,2.871807e+003,,
5.321000e+002,3.016607e+003,1.221423e+003,1.412355e+003,2.753713e+003,1.293806e+003,1.227192e+003,1.221404e+003,3.022871e+003,,
5.320000e+002,3.179320e+003,1.219550e+003,1.370521e+003,2.911330e+003,1.318845e+003,1.228226e+003,1.219539e+003,3.170316e+003,,
5.319000e+002,3.303953e+003,1.217559e+003,1.334840e+003,3.040469e+003,1.350742e+003,1.230425e+003,1.217553e+003,3.303823e+003,,
5.318000e+002,3.344733e+003,1.215530e+003,1.305166e+003,3.131410e+003,1.390047e+003,1.234307e+003,1.215526e+003,3.414354e+003,,
5.317000e+002,3.416067e+003,1.213432e+003,1.280725e+003,3.176793e+003,1.436612e+003,1.240404e+003,1.213430e+003,3.494246e+003,,
5.316000e+002,3.539567e+003,1.211215e+003,1.261041e+003,3.171308e+003,1.489427e+003,1.249440e+003,1.211214e+003,3.537576e+003,,
5.315000e+002,3.546733e+003,1.208989e+003,1.245224e+003,3.117413e+003,1.546595e+003,1.262206e+003,1.208988e+003,3.544474e+003,,
5.314000e+002,3.439167e+003,1.206864e+003,1.232868e+003,3.016821e+003,1.605074e+003,1.280042e+003,1.206864e+003,3.514214e+003,,
5.313000e+002,3.463500e+003,1.204714e+003,1.223065e+003,2.880159e+003,1.660560e+003,1.303537e+003,1.204714e+003,3.453180e+003,,
5.312000e+002,3.366133e+003,1.202654e+003,1.215418e+003,2.716113e+003,1.708355e+003,1.334184e+003,1.202654e+003,3.366107e+003,,
5.311000e+002,3.259397e+003,1.200695e+003,1.209444e+003,2.536695e+003,1.743672e+003,1.372759e+003,1.200695e+003,3.260486e+003,,
5.310000e+002,3.175767e+003,1.198813e+003,1.204711e+003,2.352160e+003,1.762529e+003,1.420153e+003,1.198813e+003,3.143113e+003,,
5.309000e+002,3.117333e+003,1.196985e+003,1.200915e+003,2.171812e+003,1.762563e+003,1.476837e+003,1.196985e+003,3.021172e+003,,
5.308000e+002,2.964440e+003,1.195301e+003,1.197870e+003,2.002472e+003,1.743642e+003,1.542576e+003,1.195301e+003,2.900657e+003,,
5.307000e+002,2.834950e+003,1.193739e+003,1.195403e+003,1.849653e+003,1.707695e+003,1.616835e+003,1.193739e+003,2.788368e+003,,
5.306000e+002,2.693707e+003,1.192310e+003,1.193367e+003,1.715087e+003,1.658430e+003,1.697432e+003,1.192310e+003,2.687386e+003,,
5.305000e+002,2.612230e+003,1.190957e+003,1.191621e+003,1.600694e+003,1.600498e+003,1.781732e+003,1.190957e+003,2.601673e+003,,
5.304000e+002,2.509647e+003,1.189701e+003,1.190111e+003,1.505103e+003,1.538799e+003,1.865714e+003,1.189701e+003,2.530625e+003,,
5.303000e+002,2.421777e+003,1.188527e+003,1.188776e+003,1.427415e+003,1.477688e+003,1.944634e+003,1.188527e+003,2.472932e+003,,
5.302000e+002,2.349003e+003,1.187421e+003,1.187571e+003,1.365451e+003,1.420522e+003,2.013256e+003,1.187421e+003,2.424536e+003,,
5.301000e+002,2.340793e+003,1.186323e+003,1.186411e+003,1.316801e+003,1.369457e+003,2.066631e+003,1.186323e+003,2.380332e+003,,
5.300000e+002,2.257810e+003,1.185302e+003,1.185353e+003,1.279609e+003,1.325700e+003,2.099936e+003,1.185302e+003,2.334694e+003,,
5.299000e+002,2.232957e+003,1.184304e+003,1.184333e+003,1.251242e+003,1.289448e+003,2.111240e+003,1.184304e+003,2.283352e+003,,
5.298000e+002,2.155470e+003,1.183378e+003,1.183395e+003,1.230355e+003,1.260367e+003,2.098013e+003,1.183378e+003,2.221996e+003,,
5.297000e+002,2.163020e+003,1.182445e+003,1.182454e+003,1.214819e+003,1.237603e+003,2.062753e+003,1.182445e+003,2.150295e+003,,
5.296000e+002,2.054803e+003,1.181614e+003,1.181619e+003,1.203643e+003,1.220303e+003,2.007448e+003,1.181614e+003,2.068172e+003,,
5.295000e+002,2.032503e+003,1.180803e+003,1.180806e+003,1.195555e+003,1.207384e+003,1.936910e+003,1.180803e+003,1.978245e+003,,
5.294000e+002,1.931367e+003,1.180088e+003,1.180089e+003,1.189818e+003,1.197981e+003,1.856102e+003,1.180088e+003,1.883726e+003,,
5.293000e+002,1.864950e+003,1.179436e+003,1.179436e+003,1.185771e+003,1.191240e+003,1.770210e+003,1.179436e+003,1.788350e+003,,
5.292000e+002,1.754620e+003,1.178888e+003,1.178888e+003,1.182936e+003,1.186522e+003,1.684009e+003,1.178888e+003,1.695693e+003,,
5.291000e+002,1.677683e+003,1.178412e+003,1.178412e+003,1.180977e+003,1.183253e+003,1.601509e+003,1.178412e+003,1.608913e+003,,
5.290000e+002,1.575573e+003,1.178034e+003,1.178034e+003,1.179625e+003,1.181043e+003,1.525309e+003,1.178034e+003,1.529909e+003,,
5.289000e+002,1.534347e+003,1.177694e+003,1.177694e+003,1.178673e+003,1.179528e+003,1.457546e+003,1.177694e+003,1.460358e+003,,
5.288000e+002,1.444890e+003,1.177440e+003,1.177440e+003,1.178030e+003,1.178536e+003,1.398780e+003,1.177440e+003,1.400466e+003,,
5.287000e+002,1.390557e+003,1.177237e+003,1.177237e+003,1.177588e+003,1.177879e+003,1.349301e+003,1.177237e+003,1.350295e+003,,
5.286000e+002,1.334353e+003,1.177087e+003,1.177087e+003,1.177293e+003,1.177456e+003,1.308617e+003,1.177087e+003,1.309192e+003,,
5.285000e+002,1.242863e+003,1.177024e+003,1.177024e+003,1.177143e+003,1.177232e+003,1.275848e+003,1.177024e+003,1.276175e+003,,
5.284000e+002,1.229793e+003,1.176974e+003,1.176974e+003,1.177042e+003,1.177089e+003,1.250152e+003,1.176974e+003,1.250335e+003,,
5.283000e+002,1.198073e+003,1.176954e+003,1.176954e+003,1.176992e+003,1.177016e+003,1.230172e+003,1.176954e+003,1.230272e+003,,
5.282000e+002,1.227253e+003,1.176906e+003,1.176906e+003,1.176927e+003,1.176939e+003,1.215132e+003,1.176906e+003,1.215186e+003,,
5.281000e+002,1.204257e+003,1.176880e+003,1.176880e+003,1.176892e+003,1.176897e+003,1.203854e+003,1.176880e+003,1.203883e+003,,
5.280000e+002,1.183437e+003,1.176874e+003,1.176874e+003,1.176880e+003,1.176883e+003,1.195655e+003,1.176874e+003,1.195670e+003,,
5.279000e+002,1.170647e+003,1.176868e+003,1.176868e+003,1.176871e+003,1.176872e+003,1.189740e+003,1.176868e+003,1.189747e+003,,
5.278000e+002,1.183847e+003,1.176861e+003,1.176861e+003,1.176863e+003,1.176863e+003,1.185548e+003,1.176861e+003,1.185552e+003,,
5.277000e+002,1.215507e+003,1.176824e+003,1.176824e+003,1.176825e+003,1.176825e+003,1.182612e+003,1.176824e+003,1.182614e+003,,
5.276000e+002,1.165740e+003,1.176814e+003,1.176814e+003,1.176814e+003,1.176814e+003,1.180598e+003,1.176814e+003,1.180599e+003,,
5.275000e+002,1.192260e+003,1.176799e+003,1.176799e+003,1.176799e+003,1.176799e+003,1.179251e+003,1.176799e+003,1.179252e+003,,
5.274000e+002,1.188433e+003,1.176788e+003,1.176788e+003,1.176788e+003,1.176788e+003,1.178345e+003,1.176788e+003,1.178346e+003,,
5.273000e+002,1.171197e+003,1.176783e+003,1.176783e+003,1.176783e+003,1.176783e+003,1.177762e+003,1.176783e+003,1.177762e+003,,
5.272000e+002,1.178020e+003,1.176782e+003,1.176782e+003,1.176782e+003,1.176782e+003,1.177386e+003,1.176782e+003,1.177386e+003,,
5.271000e+002,1.193613e+003,1.176766e+003,1.176766e+003,1.176766e+003,1.176766e+003,1.177134e+003,1.176766e+003,1.177134e+003,,
5.270000e+002,1.169087e+003,1.176758e+003,1.176758e+003,1.176758e+003,1.176758e+003,1.176980e+003,1.176758e+003,1.176980e+003,,
5.269000e+002,1.192487e+003,1.176743e+003,1.176743e+003,1.176743e+003,1.176743e+003,1.176874e+003,1.176743e+003,1.176874e+003,,
5.268000e+002,1.155070e+003,1.176723e+003,1.176723e+003,1.176723e+003,1.176723e+003,1.176799e+003,1.176723e+003,1.176799e+003,,
5.267000e+002,1.153333e+003,1.176700e+003,1.176700e+003,1.176700e+003,1.176700e+003,1.176744e+003,1.176700e+003,1.176744e+003,,
5.266000e+002,1.171630e+003,1.176696e+003,1.176696e+003,1.176696e+003,1.176696e+003,1.176720e+003,1.176696e+003,1.176720e+003,,
5.265000e+002,1.138550e+003,1.176659e+003,1.176659e+003,1.176659e+003,1.176659e+003,1.176673e+003,1.176659e+003,1.176673e+003,,
5.264000e+002,1.135990e+003,1.176621e+003,1.176621e+003,1.176621e+003,1.176621e+003,1.176628e+003,1.176621e+003,1.176628e+003,,
5.263000e+002,1.180420e+003,1.176617e+003,1.176617e+003,1.176617e+003,1.176617e+003,1.176621e+003,1.176617e+003,1.176621e+003,,
5.262000e+002,1.150500e+003,1.176592e+003,1.176592e+003,1.176592e+003,1.176592e+003,1.176594e+003,1.176592e+003,1.176594e+003,,
5.261000e+002,1.198857e+003,1.198857e+003,1.198857e+003,1.198857e+003,1.198857e+003,1.198858e+003,1.198857e+003,1.198858e+003,,
5.260000e+002,1.202853e+003,1.202853e+003,1.202853e+003,1.202853e+003,1.202853e+003,1.202854e+003,1.202853e+003,1.202854e+003,,
5.259000e+002,1.169307e+003,1.169307e+003,1.169307e+003,1.169307e+003,1.169307e+003,1.169307e+003,1.169307e+003,1.169307e+003,,
5.258000e+002,1.166077e+003,1.166077e+003,1.166077e+003,1.166077e+003,1.166077e+003,1.166077e+003,1.166077e+003,1.166077e+003,,
5.257000e+002,1.170637e+003,1.170637e+003,1.170637e+003,1.170637e+003,1.170637e+003,1.170637e+003,1.170637e+003,1.170637e+003,,
5.256000e+002,1.181213e+003,1.181213e+003,1.181213e+003,1.181213e+003,1.181213e+003,1.181213e+003,1.181213e+003,1.181213e+003,,
5.255000e+002,1.154397e+003,1.154397e+003,1.154397e+003,1.154397e+003,1.154397e+003,1.154397e+003,1.154397e+003,1.154397e+003,,
5.254000e+002,1.155087e+003,1.155087e+003,1.155087e+003,1.155087e+003,1.155087e+003,1.155087e+003,1.155087e+003,1.155087e+003,,
5.253000e+002,1.197893e+003,1.197893e+003,1.197893e+003,1.197893e+003,1.197893e+003,1.197893e+003,1.197893e+003,1.197893e+003,,
5.252000e+002,1.179450e+003,1.179450e+003,1.179450e+003,1.179450e+003,1.179450e+003,1.179450e+003,1.179450e+003,1.179450e+003,,
5.251000e+002,1.176973e+003,1.176973e+003,1.176973e+003,1.176973e+003,1.176973e+003,1.176973e+003,1.176973e+003,1.176973e+003,,
5.250000e+002,1.169350e+003,1.169350e+003,1.169350e+003,1.169350e+003,1.169350e+003,1.169350e+003,1.169350e+003,1.169350e+003,,